EGID,id,type,x,y,z
919275,196,wall,186.86,205.28,1.57
919275,196,wall,175.60,195.44,1.57
919275,196,wall,175.60,195.44,45.23
919275,196,wall,186.86,205.28,45.23
919275,196,wall,186.86,205.28,1.57
919275,198,wall,187.22,204.87,1.57
919275,198,wall,186.86,205.28,1.57
919275,198,wall,186.86,205.28,45.23
919275,198,wall,187.22,204.87,45.23
919275,198,wall,187.22,204.87,1.57
919275,200,wall,199.03,206.14,1.57
919275,200,wall,194.92,210.83,1.57
919275,200,wall,194.92,210.83,45.23
919275,200,wall,199.03,206.14,45.23
919275,200,wall,199.03,206.14,1.57
919275,278,wall,183.02,190.68,1.57
919275,278,wall,186.80,186.35,1.57
919275,278,wall,186.80,186.35,45.23
919275,278,wall,183.02,190.68,45.23
919275,278,wall,183.02,190.68,1.57
919275,328,wall,197.33,190.47,1.57
919275,328,wall,205.33,197.46,1.57
919275,328,wall,205.33,197.46,45.23
919275,328,wall,197.33,190.47,45.23
919275,328,wall,197.33,190.47,1.57
919275,330,wall,185.81,197.52,45.23
919275,330,wall,185.81,197.52,48.07
919275,330,wall,190.36,201.50,48.07
919275,330,wall,190.36,201.50,45.23
919275,330,wall,185.81,197.52,45.23
919275,334,wall,186.80,186.35,1.57
919275,334,wall,189.33,183.47,1.57
919275,334,wall,189.33,183.47,45.23
919275,334,wall,186.80,186.35,45.23
919275,334,wall,186.80,186.35,1.57
919275,380,wall,181.18,189.07,1.57
919275,380,wall,183.02,190.68,1.57
919275,380,wall,183.02,190.68,45.23
919275,380,wall,181.18,189.07,45.23
919275,380,wall,181.18,189.07,1.57
919275,382,wall,194.00,197.34,45.23
919275,382,wall,194.00,197.34,48.07
919275,382,wall,189.45,193.36,48.07
919275,382,wall,189.45,193.36,45.23
919275,382,wall,194.00,197.34,45.23
919275,384,wall,201.25,202.83,1.57
919275,384,wall,201.25,202.83,45.23
919275,384,wall,200.90,202.53,45.23
919275,384,wall,200.90,202.53,1.57
919275,384,wall,201.25,202.83,1.57
919275,394,wall,187.61,204.43,1.57
919275,394,wall,187.22,204.87,1.57
919275,394,wall,187.22,204.87,45.23
919275,394,wall,187.61,204.43,45.23
919275,394,wall,187.61,204.43,1.57
919275,410,wall,175.60,195.44,1.57
919275,410,wall,181.18,189.07,1.57
919275,410,wall,181.18,189.07,45.23
919275,410,wall,175.60,195.44,45.23
919275,410,wall,175.60,195.44,1.57
919275,414,wall,201.25,202.83,1.57
919275,414,wall,201.63,203.17,1.57
919275,414,wall,201.63,203.17,45.23
919275,414,wall,201.25,202.83,45.23
919275,414,wall,201.25,202.83,1.57
919275,422,wall,205.33,197.46,1.57
919275,422,wall,203.79,199.22,1.57
919275,422,wall,203.79,199.22,45.23
919275,422,wall,205.33,197.46,45.23
919275,422,wall,205.33,197.46,1.57
919275,434,wall,189.33,183.47,1.57
919275,434,wall,197.33,190.47,1.57
919275,434,wall,197.33,190.47,45.23
919275,434,wall,189.33,183.47,45.23
919275,434,wall,189.33,183.47,1.57
